iter	Passed	Remaining
189	315	1346
190	316	1339
191	316	1333
192	317	1327
193	317	1320
194	318	1314
195	318	1308
196	319	1302
197	319	1295
198	320	1289
199	321	1284
200	321	1278
201	322	1272
202	322	1266
203	323	1261
204	323	1255
205	324	1249
206	324	1244
207	325	1239
208	326	1233
209	326	1228
210	327	1223
211	327	1217
212	328	1212
213	328	1207
214	329	1201
215	329	1196
216	330	1191
217	330	1186
218	331	1181
219	331	1176
220	332	1171
221	332	1166
222	333	1161
223	333	1156
224	334	1151
225	334	1147
226	335	1142
227	336	1137
228	336	1133
229	337	1128
230	337	1124
231	338	1119
232	338	1114
233	339	1110
234	339	1106
235	340	1102
236	341	1098
237	341	1094
238	342	1089
239	342	1085
240	343	1081
241	343	1076
242	344	1072
243	344	1068
244	345	1064
245	345	1060
246	346	1055
247	346	1051
248	347	1047
249	347	1043
250	348	1039
251	348	1035
252	349	1031
253	349	1027
254	350	1023
255	351	1020
256	351	1017
257	352	1013
258	353	1010
259	353	1006
260	354	1003
261	355	1000
262	355	997
263	356	994
264	357	990
265	357	987
266	358	983
267	358	980
268	359	976
269	359	973
270	360	969
271	361	966
272	361	962
273	362	959
274	362	955
275	363	952
276	363	949
277	364	945
278	364	942
279	365	939
280	366	936
281	366	933
282	367	930
283	367	927
284	368	924
285	368	921
286	369	918
287	370	916
288	371	914
289	372	911
290	373	910
291	374	908
292	375	907
293	376	904
294	377	902
295	378	899
296	379	897
297	379	894
298	380	891
299	380	888
300	381	885
301	381	882
302	382	879
303	382	876
304	383	873
305	383	870
306	384	868
307	385	866
308	386	864
309	386	861
310	387	858
311	387	855
312	388	852
313	388	849
314	389	846
315	390	844
316	390	841
317	391	838
318	391	836
319	392	833
320	392	830
321	393	828
322	393	825
323	394	822
324	394	820
325	395	817
326	395	814
327	396	812
328	396	809
329	397	807
330	397	804
331	398	801
332	399	799
333	400	798
334	400	795
335	401	793
336	401	790
337	402	787
338	402	785
339	403	783
340	403	780
341	404	778
342	404	775
343	405	773
344	406	770
345	406	768
346	407	766
347	407	763
348	408	761
349	408	759
350	409	757
351	410	754
352	410	752
353	411	750
354	411	747
355	412	745
356	412	743
357	413	740
358	413	738
359	414	737
360	415	735
361	415	732
362	416	730
363	416	728
364	417	726
365	417	723
366	418	721
367	418	719
368	419	717
369	420	715
370	420	713
371	421	710
372	421	708
373	422	706
374	422	704
375	423	702
376	423	700
377	424	698
378	424	696
379	425	694
380	425	692
381	426	689
382	427	687
383	427	685
384	428	683
385	428	681
386	429	680
387	430	678
388	430	676
389	431	674
390	431	672
391	432	670
392	432	668
393	433	666
394	433	664
395	434	662
396	434	660
397	435	658
398	435	656
399	436	654
400	436	652
401	437	650
402	437	648
403	438	646
404	439	644
405	439	643
406	440	641
407	440	639
408	441	637
409	441	635
410	442	633
411	442	631
412	443	629
413	443	627
414	444	626
415	445	624
416	445	623
417	446	621
418	446	619
419	447	617
420	447	615
421	448	613
422	448	612
423	449	610
424	449	608
425	450	606
426	450	604
427	451	603
428	451	601
429	452	599
430	452	597
431	453	596
432	453	594
433	454	592
434	454	590
435	455	589
436	455	587
437	456	585
438	456	583
439	457	582
440	457	580
441	458	579
442	459	577
443	460	576
444	460	574
445	461	572
446	461	571
447	462	569
448	462	567
449	463	566
450	463	564
451	464	562
452	464	561
453	465	559
454	465	557
455	466	556
456	466	554
457	467	553
458	467	551
459	468	549
460	469	548
461	469	546
462	470	545
463	470	543
464	471	542
465	471	540
466	472	538
467	472	537
468	473	535
469	473	534
470	474	533
471	475	531
472	475	529
473	476	528
474	476	526
475	477	525
476	477	523
477	478	522
478	478	520
479	479	519
480	479	517
481	480	516
482	480	514
483	481	513
484	481	511
485	482	510
486	482	508
